Mention,Start index,End index,Title,Wikipedia link
בר,7,7,שרגא בר,https://he.wikipedia.org/wiki/שרגא בר
יחזקאל,8,8,יחזקאל,https://he.wikipedia.org/wiki/יחזקאל
יחזקאל,8,8,יחזקאל (פזמון),https://he.wikipedia.org/wiki/יחזקאל (פזמון)
יחזקאל,8,8,יחזקאל גרין,https://he.wikipedia.org/wiki/יחזקאל גרין
יחזקאל,8,8,יחזקאל הולשטוק,https://he.wikipedia.org/wiki/יחזקאל הולשטוק
יחזקאל,8,8,יחזקאל הטראגיקן,https://he.wikipedia.org/wiki/יחזקאל הטראגיקן
יחזקאל,8,8,יחזקאל הנביא,https://he.wikipedia.org/wiki/יחזקאל הנביא
יחזקאל,8,8,יחזקאל טאוב,https://he.wikipedia.org/wiki/יחזקאל טאוב
יחזקאל,8,8,יחזקאל שטיין,https://he.wikipedia.org/wiki/יחזקאל שטיין
יחזקאל,8,8,ספר יחזקאל,https://he.wikipedia.org/wiki/ספר יחזקאל
נחמני,9,9,רחוב נחמני,https://he.wikipedia.org/wiki/רחוב נחמני
ובר,10,10,אנדרו לויד ובר,https://he.wikipedia.org/wiki/אנדרו לויד ובר
ובר,10,10,ג'וזיפ ובר,https://he.wikipedia.org/wiki/ג'וזיפ ובר
ובר,10,10,הריברט ובר,https://he.wikipedia.org/wiki/הריברט ובר
ובר,10,10,ובר,https://he.wikipedia.org/wiki/ובר
ובר,10,10,ובר (יחידת מידה),https://he.wikipedia.org/wiki/ובר (יחידת מידה)
ובר,10,10,ובר (נהר),https://he.wikipedia.org/wiki/ובר (נהר)
ובר,10,10,וולפגנג ובר,https://he.wikipedia.org/wiki/וולפגנג ובר
ובר,10,10,כריס ובר,https://he.wikipedia.org/wiki/כריס ובר
ובר,10,10,מחוז ובר,https://he.wikipedia.org/wiki/מחוז ובר
ובר,10,10,מקס ובר,https://he.wikipedia.org/wiki/מקס ובר
ובר,10,10,קארל מריה פון ובר,https://he.wikipedia.org/wiki/קארל מריה פון ובר
ובר,10,10,קרל מריה פון ובר,https://he.wikipedia.org/wiki/קרל מריה פון ובר
רבו,11,11,מרא דאתרא,https://he.wikipedia.org/wiki/מרא דאתרא
רבו,11,11,רב,https://he.wikipedia.org/wiki/רב
תלמידו,12,12,מתמחה,https://he.wikipedia.org/wiki/מתמחה
תלמידו,12,12,תלמיד חבר,https://he.wikipedia.org/wiki/תלמיד חבר
תלמידו,12,12,תלמיד חכם,https://he.wikipedia.org/wiki/תלמיד חכם
רב,13,13,אבא אריכא,https://he.wikipedia.org/wiki/אבא אריכא
רב,13,13,איסור שתיית יין לנזיר,https://he.wikipedia.org/wiki/איסור שתיית יין לנזיר
רב,13,13,מצוות פריקה,https://he.wikipedia.org/wiki/מצוות פריקה
רב,13,13,מרא דאתרא,https://he.wikipedia.org/wiki/מרא דאתרא
רב,13,13,מרדכי זילברמן (רב),https://he.wikipedia.org/wiki/מרדכי זילברמן (רב)
רב,13,13,צבר (סלנג),https://he.wikipedia.org/wiki/צבר (סלנג)
רב,13,13,רב,https://he.wikipedia.org/wiki/רב
רב,13,13,רב (אי),https://he.wikipedia.org/wiki/רב (אי)
רב,13,13,רב (אישה),https://he.wikipedia.org/wiki/רב (אישה)
רב,13,13,רב (אמורא),https://he.wikipedia.org/wiki/רב (אמורא)
רב,13,13,רב אמורא),https://he.wikipedia.org/wiki/רב אמורא)
רב,13,13,רב צבאי,https://he.wikipedia.org/wiki/רב צבאי
רב,13,13,רב שכונה,https://he.wikipedia.org/wiki/רב שכונה
רב,13,13,רבנות,https://he.wikipedia.org/wiki/רבנות
בן,14,14,אבודים - דמויות,https://he.wikipedia.org/wiki/אבודים - דמויות
בן,14,14,אברהם אלטר פולק,https://he.wikipedia.org/wiki/אברהם אלטר פולק
בן,14,14,אבשלום,https://he.wikipedia.org/wiki/אבשלום
בן,14,14,בן,https://he.wikipedia.org/wiki/בן
בן,14,14,בן ארצי,https://he.wikipedia.org/wiki/בן ארצי
בן,14,14,בן וידר,https://he.wikipedia.org/wiki/בן וידר
בן,14,14,בן לוין,https://he.wikipedia.org/wiki/בן לוין
בן,14,14,ג'יימס פרנסיס אדוארד סטיוארט,https://he.wikipedia.org/wiki/ג'יימס פרנסיס אדוארד סטיוארט
בן,14,14,גוטפריד בן,https://he.wikipedia.org/wiki/גוטפריד בן
בן,14,14,גיל,https://he.wikipedia.org/wiki/גיל
בן,14,14,האל הבן,https://he.wikipedia.org/wiki/האל הבן
בן,14,14,זכר,https://he.wikipedia.org/wiki/זכר
בן,14,14,ישו,https://he.wikipedia.org/wiki/ישו
של,15,15,אורסטס (מחזה),https://he.wikipedia.org/wiki/אורסטס (מחזה)
של,15,15,דניאל מורשת,https://he.wikipedia.org/wiki/דניאל מורשת
של,15,15,האוניברסיטה הפתוחה,https://he.wikipedia.org/wiki/האוניברסיטה הפתוחה
של,15,15,לא לגלות ערוות אם,https://he.wikipedia.org/wiki/לא לגלות ערוות אם
של,15,15,מיון של,https://he.wikipedia.org/wiki/מיון של
של,15,15,של,https://he.wikipedia.org/wiki/של
של,15,15,של (מילת יחס),https://he.wikipedia.org/wiki/של (מילת יחס)
של,15,15,של אויל קומפני,https://he.wikipedia.org/wiki/של אויל קומפני
הדור,16,16,בית הדור,https://he.wikipedia.org/wiki/בית הדור
הדור,16,16,דור (תקופה),https://he.wikipedia.org/wiki/דור (תקופה)
הדור,16,16,הדור,https://he.wikipedia.org/wiki/הדור
הדור,16,16,הדור (כתב עת),https://he.wikipedia.org/wiki/הדור (כתב עת)
הדור,16,16,הדור (כתב-עת),https://he.wikipedia.org/wiki/הדור (כתב-עת)
הדור,16,16,הדור (עיתון),https://he.wikipedia.org/wiki/הדור (עיתון)
הדור,16,16,הדור לורינדול,https://he.wikipedia.org/wiki/הדור לורינדול
בבלי,18,18,אכדית,https://he.wikipedia.org/wiki/אכדית
בבלי,18,18,בבל,https://he.wikipedia.org/wiki/בבל
בבלי,18,18,בבלי,https://he.wikipedia.org/wiki/בבלי
בבלי,18,18,בבלי (שכונה),https://he.wikipedia.org/wiki/בבלי (שכונה)
בבלי,18,18,בבלים,https://he.wikipedia.org/wiki/בבלים
בבלי,18,18,בבלית,https://he.wikipedia.org/wiki/בבלית
בבלי,18,18,הלוח הבבלי,https://he.wikipedia.org/wiki/הלוח הבבלי
בבלי,18,18,התלמוד הבבלי,https://he.wikipedia.org/wiki/התלמוד הבבלי
בבלי,18,18,יהדות בבל,https://he.wikipedia.org/wiki/יהדות בבל
בבלי,18,18,מיתולוגיה בבלית,https://he.wikipedia.org/wiki/מיתולוגיה בבלית
בבלי,18,18,תלמוד בבלי,https://he.wikipedia.org/wiki/תלמוד בבלי
בבלי,18,18,תלמוד הבבלי,https://he.wikipedia.org/wiki/תלמוד הבבלי
ראש,19,19,איאן ראש,https://he.wikipedia.org/wiki/איאן ראש
ראש,19,19,מפקד (תפקיד),https://he.wikipedia.org/wiki/מפקד (תפקיד)
ראש,19,19,פרוטומה,https://he.wikipedia.org/wiki/פרוטומה
ראש,19,19,ראש,https://he.wikipedia.org/wiki/ראש
ראש,19,19,ראש  עירייה,https://he.wikipedia.org/wiki/ראש  עירייה
ראש,19,19,ראש (כתב עת),https://he.wikipedia.org/wiki/ראש (כתב עת)
ראש,19,19,ראש (להקה),https://he.wikipedia.org/wiki/ראש (להקה)
ראש,19,19,ראש (מנהיג),https://he.wikipedia.org/wiki/ראש (מנהיג)
ראש,19,19,ראש (עיירה),https://he.wikipedia.org/wiki/ראש (עיירה)
ראש,19,19,ראש המטה הכללי הרוסי,https://he.wikipedia.org/wiki/ראש המטה הכללי הרוסי
ראש,19,19,ראש העיר,https://he.wikipedia.org/wiki/ראש העיר
ראש,19,19,ראש חודש,https://he.wikipedia.org/wiki/ראש חודש
ראש,19,19,ראש ישיבה,https://he.wikipedia.org/wiki/ראש ישיבה
ראש,19,19,ראש מדינה,https://he.wikipedia.org/wiki/ראש מדינה
ראש,19,19,ראש ממשלה,https://he.wikipedia.org/wiki/ראש ממשלה
ראש,19,19,ראש ממשלת ישראל,https://he.wikipedia.org/wiki/ראש ממשלת ישראל
ראש,19,19,ראש ממשלת צרפת,https://he.wikipedia.org/wiki/ראש ממשלת צרפת
ראש,19,19,ראש עיר,https://he.wikipedia.org/wiki/ראש עיר
ראש,19,19,ראש עירייה,https://he.wikipedia.org/wiki/ראש עירייה
ראש,19,19,ראש קרבי,https://he.wikipedia.org/wiki/ראש קרבי
ראש,19,19,ריצ'רד ראש,https://he.wikipedia.org/wiki/ריצ'רד ראש
פומבדיתא,20,20,ישיבת פומבדיתא,https://he.wikipedia.org/wiki/ישיבת פומבדיתא
פומבדיתא,20,20,פומבדיתא,https://he.wikipedia.org/wiki/פומבדיתא
יוסף,21,21,דוד יוסף (ראש עירייה),https://he.wikipedia.org/wiki/דוד יוסף (ראש עירייה)
יוסף,21,21,יוסף,https://he.wikipedia.org/wiki/יוסף
יוסף,21,21,יוסף (אופרה),https://he.wikipedia.org/wiki/יוסף (אופרה)
יוסף,21,21,יוסף (אחי הורדוס),https://he.wikipedia.org/wiki/יוסף (אחי הורדוס)
יוסף,21,21,יוסף (אסלאם),https://he.wikipedia.org/wiki/יוסף (אסלאם)
יוסף,21,21,יוסף (בעל שלומית),https://he.wikipedia.org/wiki/יוסף (בעל שלומית)
יוסף,21,21,יוסף (דמות),https://he.wikipedia.org/wiki/יוסף (דמות)
יוסף,21,21,יוסף (מעצב אופנה),https://he.wikipedia.org/wiki/יוסף (מעצב אופנה)
יוסף,21,21,יוסף (פטריארך),https://he.wikipedia.org/wiki/יוסף (פטריארך)
יוסף,21,21,יוסף אבן וירגה,https://he.wikipedia.org/wiki/יוסף אבן וירגה
יוסף,21,21,יוסף אגנניהו,https://he.wikipedia.org/wiki/יוסף אגנניהו
יוסף,21,21,יוסף אונגר,https://he.wikipedia.org/wiki/יוסף אונגר
יוסף,21,21,יוסף בוסל,https://he.wikipedia.org/wiki/יוסף בוסל
יוסף,21,21,יוסף ביילין,https://he.wikipedia.org/wiki/יוסף ביילין
יוסף,21,21,יוסף בן מתתיהו,https://he.wikipedia.org/wiki/יוסף בן מתתיהו
יוסף,21,21,יוסף בר-יוסף,https://he.wikipedia.org/wiki/יוסף בר-יוסף
יוסף,21,21,יוסף ברוצ'ינר,https://he.wikipedia.org/wiki/יוסף ברוצ'ינר
יוסף,21,21,יוסף ברלין,https://he.wikipedia.org/wiki/יוסף ברלין
יוסף,21,21,יוסף גליקסברג,https://he.wikipedia.org/wiki/יוסף גליקסברג
יוסף,21,21,יוסף גרהרד ליבס,https://he.wikipedia.org/wiki/יוסף גרהרד ליבס
יוסף,21,21,יוסף דרנבורג,https://he.wikipedia.org/wiki/יוסף דרנבורג
יוסף,21,21,יוסף הקדוש,https://he.wikipedia.org/wiki/יוסף הקדוש
יוסף,21,21,יוסף זבדיה,https://he.wikipedia.org/wiki/יוסף זבדיה
יוסף,21,21,יוסף זוסמן,https://he.wikipedia.org/wiki/יוסף זוסמן
יוסף,21,21,יוסף זליגר,https://he.wikipedia.org/wiki/יוסף זליגר
יוסף,21,21,יוסף חריש,https://he.wikipedia.org/wiki/יוסף חריש
יוסף,21,21,יוסף כצנלסון,https://he.wikipedia.org/wiki/יוסף כצנלסון
יוסף,21,21,יוסף לפיד,https://he.wikipedia.org/wiki/יוסף לפיד
יוסף,21,21,יוסף מוקיר שבת,https://he.wikipedia.org/wiki/יוסף מוקיר שבת
יוסף,21,21,יוסף מטראני,https://he.wikipedia.org/wiki/יוסף מטראני
יוסף,21,21,יוסף מיאמפולה,https://he.wikipedia.org/wiki/יוסף מיאמפולה
יוסף,21,21,יוסף מייא,https://he.wikipedia.org/wiki/יוסף מייא
יוסף,21,21,יוסף מילוא,https://he.wikipedia.org/wiki/יוסף מילוא
יוסף,21,21,יוסף מנדלסון,https://he.wikipedia.org/wiki/יוסף מנדלסון
יוסף,21,21,יוסף משאש,https://he.wikipedia.org/wiki/יוסף משאש
יוסף,21,21,יוסף סידר,https://he.wikipedia.org/wiki/יוסף סידר
יוסף,21,21,יוסף ענבר,https://he.wikipedia.org/wiki/יוסף ענבר
יוסף,21,21,יוסף פיינברג,https://he.wikipedia.org/wiki/יוסף פיינברג
יוסף,21,21,יוסף פלאג'י,https://he.wikipedia.org/wiki/יוסף פלאג'י
יוסף,21,21,יוסף קאליש,https://he.wikipedia.org/wiki/יוסף קאליש
יוסף,21,21,יוסף קאפח,https://he.wikipedia.org/wiki/יוסף קאפח
יוסף,21,21,יוסף קייזרמן,https://he.wikipedia.org/wiki/יוסף קייזרמן
יוסף,21,21,יוסף שלזינגר,https://he.wikipedia.org/wiki/יוסף שלזינגר
יוסף,21,21,יוסף שריג,https://he.wikipedia.org/wiki/יוסף שריג
יוסף,21,21,נטע יוסף,https://he.wikipedia.org/wiki/נטע יוסף
יוסף,21,21,עובדיה יוסף,https://he.wikipedia.org/wiki/עובדיה יוסף
רבה,22,22,מדרש רבה,https://he.wikipedia.org/wiki/מדרש רבה
רבה,22,22,מרא דאתרא,https://he.wikipedia.org/wiki/מרא דאתרא
רבה,22,22,נחל רבה,https://he.wikipedia.org/wiki/נחל רבה
רבה,22,22,רב,https://he.wikipedia.org/wiki/רב
רבה,22,22,רב (אישה),https://he.wikipedia.org/wiki/רב (אישה)
רבה,22,22,רב (אשה),https://he.wikipedia.org/wiki/רב (אשה)
רבה,22,22,רב עיר,https://he.wikipedia.org/wiki/רב עיר
רבה,22,22,רב ראשי,https://he.wikipedia.org/wiki/רב ראשי
רבה,22,22,רבה,https://he.wikipedia.org/wiki/רבה
רבה,22,22,רבה (סבוראים),https://he.wikipedia.org/wiki/רבה (סבוראים)
רבה,22,22,רבה (סדרה),https://he.wikipedia.org/wiki/רבה (סדרה)
רבה,22,22,רבה בר יוסף,https://he.wikipedia.org/wiki/רבה בר יוסף
רבה,22,22,רבה בר נחמני,https://he.wikipedia.org/wiki/רבה בר נחמני
רבה,22,22,רבה בר רב הונא,https://he.wikipedia.org/wiki/רבה בר רב הונא
רבה,22,22,רבה בר רב נחמן,https://he.wikipedia.org/wiki/רבה בר רב נחמן
ישיבת,23,23,ישיבה,https://he.wikipedia.org/wiki/ישיבה
ישיבת,23,23,ישיבת בית ישראל ודמשק אליעזר,https://he.wikipedia.org/wiki/ישיבת בית ישראל ודמשק אליעזר
ישיבת,23,23,ישיבת הסדר,https://he.wikipedia.org/wiki/ישיבת הסדר
ישיבת,23,23,כולל אברכים,https://he.wikipedia.org/wiki/כולל אברכים
רב יהודה,5,6,יהודה בר רב שמואל,https://he.wikipedia.org/wiki/יהודה בר רב שמואל
רב יהודה,5,6,רב יהודה,https://he.wikipedia.org/wiki/רב יהודה
רב יהודה,5,6,רב יהודה בר יחזקאל,https://he.wikipedia.org/wiki/רב יהודה בר יחזקאל
רב יוסף,7,8,רב יוסף,https://he.wikipedia.org/wiki/רב יוסף
רב יוסף,7,8,רב יוסף בריה דרבא,https://he.wikipedia.org/wiki/רב יוסף בריה דרבא
רב יוסף,7,8,רב יוסף בריה דרבי יהושע בן לוי,https://he.wikipedia.org/wiki/רב יוסף בריה דרבי יהושע בן לוי
רב יוסף,7,8,רבה יוסי,https://he.wikipedia.org/wiki/רבה יוסי
ראש ישיבת,13,14,ראש ישיבה,https://he.wikipedia.org/wiki/ראש ישיבה
ראש ישיבת,13,14,ראש ישיבת,https://he.wikipedia.org/wiki/ראש ישיבת
הדור השלישי,15,16,דור 3,https://he.wikipedia.org/wiki/דור 3
יוסף בר,22,23,יוסף בר,https://he.wikipedia.org/wiki/יוסף בר
יהודה בר,24,25,יהודה בר,https://he.wikipedia.org/wiki/יהודה בר
ישיבת פומבדיתא,28,29,ישיבת פומבדיתא,https://he.wikipedia.org/wiki/ישיבת פומבדיתא
רבה בר נחמני,4,6,רבה בר נחמני,https://he.wikipedia.org/wiki/רבה בר נחמני
יהודה בר יחזקאל,18,20,יהודה בר יחזקאל,https://he.wikipedia.org/wiki/יהודה בר יחזקאל
